depth,age
1.162750000000000057e+02,5.396228876829270149e+01
1.162999999999999972e+02,5.396440663414630023e+01
1.163250000000000028e+02,5.396652449999999845e+01
1.163499999999999943e+02,5.396864236585369667e+01
1.163750000000000000e+02,5.397076023170730252e+01
1.164000000000000057e+02,5.397287809756100074e+01
1.164249999999999972e+02,5.397499596341459949e+01
1.164500000000000028e+02,5.397711382926829771e+01
1.164749999999999943e+02,5.397923169512200303e+01
1.165000000000000000e+02,5.398134956097560178e+01
1.165250000000000057e+02,5.398346742682930000e+01
1.165499999999999972e+02,5.398617675999999932e+01
1.165750000000000028e+02,5.398903396000000043e+01
1.165999999999999943e+02,5.399189116000000155e+01
1.166250000000000000e+02,5.399474836000000266e+01
1.166500000000000057e+02,5.399760555999999667e+01
1.166749999999999972e+02,5.400046275999999779e+01
1.167000000000000028e+02,5.400331995999999890e+01
1.167249999999999943e+02,5.400617716000000001e+01
1.167500000000000000e+02,5.400903436000000113e+01
1.167750000000000057e+02,5.401189156000000224e+01
1.167999999999999972e+02,5.401460011999999722e+01
1.168250000000000028e+02,5.401727152000000132e+01
1.168499999999999943e+02,5.401994291999999831e+01
1.168750000000000000e+02,5.402261432000000241e+01
1.169000000000000057e+02,5.402528571999999940e+01
1.169249999999999972e+02,5.402795712000000350e+01
1.169500000000000028e+02,5.403062852000000049e+01
1.169749999999999943e+02,5.403329991999999748e+01
1.170000000000000000e+02,5.403597132000000158e+01
1.170250000000000057e+02,5.403864271999999858e+01
1.170750000000000028e+02,5.404319040000000030e+01
1.170999999999999943e+02,5.404542006666670062e+01
1.171250000000000000e+02,5.404764973333330147e+01
1.171500000000000057e+02,5.404987940000000179e+01
1.171749999999999972e+02,5.405210906666670212e+01
1.172000000000000028e+02,5.405412542857140323e+01
1.172249999999999943e+02,5.405608846428570047e+01
1.172500000000000000e+02,5.405805149999999770e+01
1.172750000000000057e+02,5.406001453571430204e+01
1.172999999999999972e+02,5.406197757142859928e+01
1.173250000000000028e+02,5.406394060714289651e+01
1.173499999999999943e+02,5.406590364285710137e+01
1.173750000000000000e+02,5.406786667857139861e+01
1.174000000000000057e+02,5.406982971428570295e+01
1.174249999999999972e+02,5.407179275000000018e+01
1.174500000000000028e+02,5.407375578571429742e+01
1.174749999999999943e+02,5.407571882142860176e+01
1.175000000000000000e+02,5.407768185714289899e+01
1.175100000000000051e+02,5.407846707142859799e+01
1.175199999999999960e+02,5.407925228571429699e+01
1.175300000000000011e+02,5.408003750000000309e+01
1.175649999999999977e+02,5.408278574999999933e+01
1.175900000000000034e+02,5.408474878571429656e+01
1.176149999999999949e+02,5.408671182142860090e+01
1.176400000000000006e+02,5.408867485714289813e+01
1.176650000000000063e+02,5.409063789285720247e+01
1.176899999999999977e+02,5.409260092857140023e+01
1.177150000000000034e+02,5.409456396428569747e+01
1.177399999999999949e+02,5.409652700000000181e+01
1.177650000000000006e+02,5.409849003571429904e+01
1.177900000000000063e+02,5.410045307142860338e+01
1.178149999999999977e+02,5.410241610714290061e+01
1.178400000000000034e+02,5.410437914285709837e+01
1.178649999999999949e+02,5.410634217857140271e+01
1.178900000000000006e+02,5.410830521428569995e+01
1.179150000000000063e+02,5.411026824999999718e+01
1.179399999999999977e+02,5.411223128571430152e+01
1.179650000000000034e+02,5.411419432142859876e+01
1.179899999999999949e+02,5.411615735714290309e+01
1.180150000000000006e+02,5.411812039285710085e+01
1.180400000000000063e+02,5.412008342857139809e+01
1.180649999999999977e+02,5.412204646428570243e+01
1.180900000000000034e+02,5.412400949999999966e+01
1.181149999999999949e+02,5.412597253571429690e+01
1.181400000000000006e+02,5.412793557142860124e+01
1.181650000000000063e+02,5.412989860714289847e+01
1.181899999999999977e+02,5.413186164285710333e+01
1.182150000000000034e+02,5.413382467857140057e+01
1.182399999999999949e+02,5.413578771428569780e+01
